Community,District,"Population,1999",1999 Beds,1999 Ratio,"Population,2014",2014 Beds,2014 Ratio
QN,1,188500,18358,97.4,172617,11943,69.2
QN,14,100600,5906,58.7,117470,6159,52.4
MN,11,110500,6517,59,120603,6277,52
BX,3&6,126400,3516,27.8,166534,7350,44.1
BX,11,98300,3661,37.2,129963,4790,36.9
BX,8,97000,3850,39.7,108485,3863,35.6
BX,1&2,116600,3889,33.4,157561,5317,33.7
BX,4,118800,3360,28.3,141467,4696,33.2
BK,16,84900,1665,19.6,124182,3915,31.5
MN,4&5,127900,4808,37.6,146311,4553,31.1
BX,7,128600,2335,18.2,125254,3542,28.3
BK,2,94500,4832,51.1,129778,3628,28
BK,3,138700,1720,12.4,137830,3589,26
BK,5,161300,2586,16,151192,3806,25.2
MN,10,99500,2657,26.7,129951,3053,23.5
BX,12,129600,2518,19.4,141622,3248,22.9
SI,2,113900,3195,28.1,131697,2999,22.8
BK,9,110700,1701,15.4,110823,2311,20.9
MN,7,211000,4013,19,196398,4094,20.8
BK,13,102600,2023,19.7,106296,2070,19.5
SI,1,137800,2917,21.2,173862,3197,18.4
BK,8,96900,1953,20.2,123963,2266,18.3
MN,3,161600,3307,20.5,163328,2966,18.2
MN,9,107000,1571,14.7,130249,2361,18.1
BX,5,118400,2154,18.2,132462,2372,17.9
QN,13,177000,3171,17.9,200341,3455,17.2
MN,6,133700,2354,17.6,145669,2351,16.1
BX,10,97900,1392,14.2,123832,1895,15.3
QN,12,201000,3358,16.7,237956,3601,15.1
BK,7,102500,1406,13.7,151077,2269,15
QN,4,137000,1320,9.6,144567,2131,14.7
QN,8,130400,2072,15.9,155984,2258,14.5
BK,15,143500,1097,7.6,147633,1972,13.4
QN,7,221800,3063,13.8,250047,3254,13
MN,1&2,119500,2257,18.9,152088,1863,12.2
BK,17,161300,618,3.8,135757,1635,12
MN,8,210900,2990,14.2,219382,2583,11.8
BK,18,162400,1738,10.7,208494,2442,11.7
BK,4,102600,1253,12.2,138660,1618,11.7
BK,1,156000,900,5.8,149379,1631,10.9
BK,12,160000,1319,8.2,166578,1630,9.8
MN,12,198200,2380,12,214419,1887,8.8
BK,14,160000,990,6.2,158531,1372,8.7
QN,11,108000,805,7.5,121291,1039,8.6
QN,3,128900,730,5.7,181089,1529,8.4
BK,6,102200,1022,10,114833,960,8.4
QN,2,94800,2067,21.8,136080,950,7
BK,11,150000,1225,8.2,184656,1258,6.8
QN,9,112600,1090,9.7,148606,985,6.6
BX,9,165700,1093,6.6,186386,1209,6.5
BK,10,110600,530,4.8,131139,773,5.9
QN,6,107000,511,4.8,111741,604,5.4
QN,5,149100,902,6,167945,877,5.2
QN,10,107800,86,0.8,134884,431,3.2
SI,3,127000,1124,8.9,165963,461,2.8