Boro CD code,TOTAL,Borough,Adult Family Commercial Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Commercial Hotel,Family Cluster,Family with Children Commercial Hotel,Family with Children Shelter
201,1486,Bronx,null,null,78,177,null,null,1.231
202,1261,Bronx,null,179,null,null,184,null,898
203,1899,Bronx,null,96,343,121,null,null,1.339
204,3156,Bronx,null,null,205,100,715,null,2.136
205,1977,Bronx,null,193,null,null,652,null,1.132
206,2144,Bronx,null,82,30,null,null,null,2.032
207,664,Bronx,null,100,100,null,174,null,290
208,233,Bronx,null,null,null,null,null,null,233
209,971,Bronx,null,null,55,null,null,null,916
210,587,Bronx,null,null,null,null,null,null,587
211,0,Bronx,null,null,null,null,null,null,null
212,493,Bronx,null,null,73,139,null,null,281
301,806,Brooklyn,null,147,302,258,null,99,null
302,554,Brooklyn,null,90,105,286,null,null,73
303,806,Brooklyn,null,null,31,102,null,195,478
304,1210,Brooklyn,null,null,124,276,null,null,810
305,1231,Brooklyn,null,null,434,368,null,84,345
306,934,Brooklyn,null,116,50,425,null,null,343
307,913,Brooklyn,null,null,187,726,null,null,null
308,747,Brooklyn,null,null,222,82,null,null,443
309,516,Brooklyn,null,null,108,null,null,null,408
310,0,Brooklyn,null,null,null,null,null,null,null
311,0,Brooklyn,null,null,null,null,null,null,null
312,245,Brooklyn,null,null,null,99,null,null,146
313,45,Brooklyn,null,null,null,45,null,null,null
314,69,Brooklyn,null,null,null,null,null,null,69
315,162,Brooklyn,null,null,null,null,null,null,162
316,2760,Brooklyn,null,null,140,471,null,64,2.085
317,745,Brooklyn,null,null,null,136,null,null,609
318,986,Brooklyn,null,350,null,null,null,null,636
101,330,Manhattan,null,null,null,236,null,94,null
102,192,Manhattan,null,null,null,192,null,null,null
103,1119,Manhattan,null,null,92,528,null,174,325
104,2147,Manhattan,null,null,270,1.289,null,588,null
105,3918,Manhattan,null,319,null,1.717,null,1.54,342
106,1012,Manhattan,null,null,539,473,null,null,null
107,1494,Manhattan,null,198,127,597,null,null,572
108,342,Manhattan,null,null,38,304,null,null,null
109,631,Manhattan,null,null,null,null,null,null,631
110,1068,Manhattan,null,null,344,null,null,null,724
111,1271,Manhattan,null,null,777,null,null,null,494
112,334,Manhattan,null,null,225,null,null,109,null
401,1545,Queens,null,null,117,979,null,149,300
402,891,Queens,null,276,null,110,null,326,179
403,1194,Queens,null,null,null,499,null,null,695
404,706,Queens,null,null,null,161,null,59,486
405,100,Queens,null,null,100,null,null,null,null
406,0,Queens,null,null,null,null,null,null,null
407,378,Queens,null,null,96,195,null,87,null
408,313,Queens,null,null,null,null,null,null,313
409,0,Queens,null,null,null,null,null,null,null
410,854,Queens,360,null,162,58,null,274,null
411,0,Queens,null,null,null,null,null,null,null
412,2715,Queens,null,211,167,1.034,null,null,1.303
413,1619,Queens,null,null,null,601,null,183,835
414,783,Queens,null,294,null,197,null,158,134
501,107,Staten Island,null,null,null,null,null,null,107
502,0,Staten Island,null,null,null,null,null,null,null
503,0,Staten Island,null,null,null,null,null,null,null