Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US06390,ZCTA5 06390,61,51,0,0,61,4
8600000US10001,ZCTA5 10001,25026,15880,1619,5201,25026,3925
8600000US10002,ZCTA5 10002,74363,23574,6645,31140,74363,19155
8600000US10003,ZCTA5 10003,54671,39951,2759,8244,54671,4732
8600000US10004,ZCTA5 10004,3310,2259,160,674,3310,193
8600000US10005,ZCTA5 10005,8664,6326,174,1514,8664,529
8600000US10006,ZCTA5 10006,3260,2291,156,561,3260,287
8600000US10007,ZCTA5 10007,7566,5784,623,882,7566,1110
8600000US10009,ZCTA5 10009,58267,34556,4581,8749,58267,13476
8600000US10010,ZCTA5 10010,34763,23667,3810,5231,34763,3138
8600000US10011,ZCTA5 10011,50228,39014,2303,4477,50228,6875
8600000US10012,ZCTA5 10012,23034,17165,613,3981,23034,1915
8600000US10013,ZCTA5 10013,28657,17734,940,8115,28657,1905
8600000US10014,ZCTA5 10014,29071,25470,484,1231,29071,2405
8600000US10016,ZCTA5 10016,52912,36986,1764,9767,52912,6706
8600000US10017,ZCTA5 10017,16065,11723,437,3240,16065,686
8600000US10018,ZCTA5 10018,8135,4693,310,2492,8135,1191
8600000US10019,ZCTA5 10019,45521,30126,2453,8496,45521,8011
8600000US10020,ZCTA5 10020,0,0,0,0,0,0
8600000US10021,ZCTA5 10021,42253,35183,119,4718,42253,2165
8600000US10022,ZCTA5 10022,31574,26359,435,3417,31574,3069
8600000US10023,ZCTA5 10023,62228,48343,2776,6973,62228,5283
8600000US10024,ZCTA5 10024,60714,50515,1773,4107,60714,6555
8600000US10025,ZCTA5 10025,92162,59085,9754,9188,92162,21867
8600000US10026,ZCTA5 10026,38937,9971,20310,2411,38937,7607
8600000US10027,ZCTA5 10027,64728,19471,25429,5512,64728,16263
8600000US10028,ZCTA5 10028,47962,40441,847,4990,47962,3548
8600000US10029,ZCTA5 10029,74617,23188,23400,8142,74617,33471
8600000US10030,ZCTA5 10030,30996,5412,18542,1147,30996,8564
8600000US10031,ZCTA5 10031,60280,17993,17271,2361,60280,29950
8600000US10032,ZCTA5 10032,59527,16262,10803,2542,59527,39054
8600000US10033,ZCTA5 10033,58648,23458,5118,1470,58648,39008
8600000US10034,ZCTA5 10034,41933,14749,5837,1257,41933,29248
8600000US10035,ZCTA5 10035,36999,7743,14458,1361,36999,16800
8600000US10036,ZCTA5 10036,28231,17606,1928,5529,28231,4991
8600000US10037,ZCTA5 10037,19177,2339,12961,763,19177,4428
8600000US10038,ZCTA5 10038,24205,12347,2516,6975,24205,2631
8600000US10039,ZCTA5 10039,27090,3954,16253,529,27090,9061
8600000US10040,ZCTA5 10040,45197,14944,4055,1293,45197,31425
8600000US10044,ZCTA5 10044,12770,5949,1582,4136,12770,1197
8600000US10065,ZCTA5 10065,30339,24572,636,4392,30339,2385
8600000US10069,ZCTA5 10069,6504,3111,315,1883,6504,1095
8600000US10075,ZCTA5 10075,22591,18775,457,1416,22591,3710
8600000US10103,ZCTA5 10103,0,0,0,0,0,0
8600000US10110,ZCTA5 10110,0,0,0,0,0,0
8600000US10111,ZCTA5 10111,0,0,0,0,0,0
8600000US10112,ZCTA5 10112,0,0,0,0,0,0
8600000US10115,ZCTA5 10115,0,0,0,0,0,0
8600000US10119,ZCTA5 10119,0,0,0,0,0,0
8600000US10128,ZCTA5 10128,57993,44069,2644,5364,57993,8538
8600000US10152,ZCTA5 10152,0,0,0,0,0,0
8600000US10153,ZCTA5 10153,0,0,0,0,0,0
8600000US10154,ZCTA5 10154,0,0,0,0,0,0
8600000US10162,ZCTA5 10162,1240,1162,0,45,1240,295
8600000US10165,ZCTA5 10165,0,0,0,0,0,0
8600000US10167,ZCTA5 10167,0,0,0,0,0,0
8600000US10168,ZCTA5 10168,0,0,0,0,0,0
8600000US10169,ZCTA5 10169,0,0,0,0,0,0
8600000US10170,ZCTA5 10170,0,0,0,0,0,0
8600000US10171,ZCTA5 10171,0,0,0,0,0,0
8600000US10172,ZCTA5 10172,0,0,0,0,0,0
8600000US10173,ZCTA5 10173,0,0,0,0,0,0
8600000US10174,ZCTA5 10174,0,0,0,0,0,0
8600000US10177,ZCTA5 10177,0,0,0,0,0,0
8600000US10199,ZCTA5 10199,0,0,0,0,0,0
8600000US10271,ZCTA5 10271,0,0,0,0,0,0
8600000US10278,ZCTA5 10278,0,0,0,0,0,0
8600000US10279,ZCTA5 10279,96,96,0,0,96,0
8600000US10280,ZCTA5 10280,9372,7129,55,1710,9372,1082
8600000US10282,ZCTA5 10282,6086,4670,139,998,6086,639
8600000US10301,ZCTA5 10301,38001,21927,8300,3009,38001,9448
8600000US10302,ZCTA5 10302,17942,9247,4584,1211,17942,6785
8600000US10303,ZCTA5 10303,27164,11474,8918,2071,27164,10853
8600000US10304,ZCTA5 10304,42133,21822,11931,4063,42133,9542
8600000US10305,ZCTA5 10305,42968,29468,2889,7404,42968,6164
8600000US10306,ZCTA5 10306,54318,43058,1874,4696,54318,9464
8600000US10307,ZCTA5 10307,15053,13834,17,691,15053,1339
8600000US10308,ZCTA5 10308,28901,26378,463,1548,28901,2692
8600000US10309,ZCTA5 10309,33896,31759,200,806,33896,2968
8600000US10310,ZCTA5 10310,24168,13815,5557,1502,24168,7450
8600000US10311,ZCTA5 10311,0,0,0,0,0,0
8600000US10312,ZCTA5 10312,61114,53863,590,4189,61114,7354
8600000US10314,ZCTA5 10314,89938,63791,3300,16415,89938,13674
8600000US10451,ZCTA5 10451,49423,8062,20160,642,49423,28799
8600000US10452,ZCTA5 10452,74379,11088,23894,1069,74379,51956
8600000US10453,ZCTA5 10453,78858,8986,25681,1769,78858,54353
8600000US10454,ZCTA5 10454,37807,6264,13164,108,37807,24959
8600000US10455,ZCTA5 10455,40300,6247,12739,344,40300,29515
8600000US10456,ZCTA5 10456,90479,11109,42701,601,90479,52804
8600000US10457,ZCTA5 10457,74679,14332,34049,536,74679,49595
8600000US10458,ZCTA5 10458,85893,13082,16270,2235,85893,61674
8600000US10459,ZCTA5 10459,48391,5971,17050,132,48391,32734
8600000US10460,ZCTA5 10460,57514,10055,19774,1050,57514,38643
8600000US10461,ZCTA5 10461,51081,24399,4721,6593,51081,24193
8600000US10462,ZCTA5 10462,75441,15651,20486,11793,75441,35057
8600000US10463,ZCTA5 10463,70236,32246,12085,2395,70236,36633
8600000US10464,ZCTA5 10464,4322,3031,21,79,4322,1591
8600000US10465,ZCTA5 10465,45066,25152,5947,1932,45066,21153
8600000US10466,ZCTA5 10466,74519,7801,52297,2042,74519,18621
8600000US10467,ZCTA5 10467,100867,24388,34448,5516,100867,52678
8600000US10468,ZCTA5 10468,78778,12013,19295,1569,78778,61285
8600000US10469,ZCTA5 10469,72550,12217,41335,4689,72550,20352
8600000US10470,ZCTA5 10470,15500,6508,5929,764,15500,3028
8600000US10471,ZCTA5 10471,22577,14922,2215,1267,22577,5659
8600000US10472,ZCTA5 10472,67989,7903,17483,5982,67989,42914
8600000US10473,ZCTA5 10473,59627,17329,22578,1032,59627,37130
8600000US10474,ZCTA5 10474,11579,1603,4933,25,11579,7273
8600000US10475,ZCTA5 10475,43791,6277,27837,1081,43791,13124
8600000US10501,ZCTA5 10501,1237,1224,13,0,1237,111
8600000US10502,ZCTA5 10502,5351,3868,166,729,5351,277
8600000US10503,ZCTA5 10503,106,92,0,14,106,19
8600000US10504,ZCTA5 10504,8053,6615,138,524,8053,654
8600000US10505,ZCTA5 10505,1336,1038,145,110,1336,97
8600000US10506,ZCTA5 10506,5555,4983,30,162,5555,466
8600000US10507,ZCTA5 10507,7152,4492,623,688,7152,2561
8600000US10509,ZCTA5 10509,20230,15835,417,664,20230,5104
8600000US10510,ZCTA5 10510,10300,8626,237,454,10300,1111
8600000US10511,ZCTA5 10511,2300,1619,205,71,2300,504
8600000US10512,ZCTA5 10512,24619,20915,849,505,24619,3919
8600000US10514,ZCTA5 10514,12543,10130,615,1415,12543,213
8600000US10516,ZCTA5 10516,5449,5020,173,79,5449,419
8600000US10517,ZCTA5 10517,497,456,4,31,497,24
8600000US10518,ZCTA5 10518,1041,934,0,103,1041,4
8600000US10519,ZCTA5 10519,305,179,0,126,305,0
8600000US10520,ZCTA5 10520,12885,10536,730,492,12885,1780
8600000US10522,ZCTA5 10522,11052,8583,506,648,11052,1697
8600000US10523,ZCTA5 10523,9415,3500,2861,775,9415,2977
8600000US10524,ZCTA5 10524,4317,3779,80,90,4317,394
8600000US10526,ZCTA5 10526,1860,1601,11,49,1860,158
8600000US10527,ZCTA5 10527,829,792,26,0,829,27
8600000US10528,ZCTA5 10528,13395,10914,243,1514,13395,1383
8600000US10530,ZCTA5 10530,12925,9257,1121,1290,12925,1527
8600000US10532,ZCTA5 10532,4739,4216,75,256,4739,416
8600000US10533,ZCTA5 10533,7463,6157,106,625,7463,581
8600000US10535,ZCTA5 10535,254,254,0,0,254,0
8600000US10536,ZCTA5 10536,11002,9788,173,289,11002,961
8600000US10537,ZCTA5 10537,2769,1925,461,257,2769,202
8600000US10538,ZCTA5 10538,16151,13466,674,1066,16151,1110
8600000US10541,ZCTA5 10541,26678,24036,346,269,26678,3182
8600000US10543,ZCTA5 10543,20999,15837,854,1126,20999,4966
8600000US10545,ZCTA5 10545,115,84,11,0,115,30
8600000US10546,ZCTA5 10546,1085,830,1,237,1085,44
8600000US10547,ZCTA5 10547,8034,5524,1322,242,8034,1765
8600000US10548,ZCTA5 10548,4087,3204,339,17,4087,668
8600000US10549,ZCTA5 10549,16121,12866,538,728,16121,4253
8600000US10550,ZCTA5 10550,36382,3982,26346,636,36382,7010
8600000US10552,ZCTA5 10552,21342,8806,8016,783,21342,3821
8600000US10553,ZCTA5 10553,9747,1073,8004,18,9747,930
8600000US10560,ZCTA5 10560,4814,3930,203,197,4814,347
8600000US10562,ZCTA5 10562,31847,19155,3585,1625,31847,10903
8600000US10566,ZCTA5 10566,24111,9486,5580,485,24111,10622
8600000US10567,ZCTA5 10567,20094,14732,1418,590,20094,4176
8600000US10570,ZCTA5 10570,12780,10279,926,664,12780,1472
8600000US10573,ZCTA5 10573,38749,24204,1736,999,38749,19504
8600000US10576,ZCTA5 10576,5036,4528,94,142,5036,289
8600000US10577,ZCTA5 10577,6387,4451,748,498,6387,876
8600000US10578,ZCTA5 10578,1386,588,0,143,1386,717
8600000US10579,ZCTA5 10579,8250,7311,127,143,8250,1082
8600000US10580,ZCTA5 10580,17185,14460,329,1101,17185,1593
8600000US10583,ZCTA5 10583,41087,29807,843,7048,41087,3406
8600000US10588,ZCTA5 10588,3102,2622,83,151,3102,797
8600000US10589,ZCTA5 10589,8080,7685,142,72,8080,451
8600000US10590,ZCTA5 10590,7208,6575,80,230,7208,372
8600000US10591,ZCTA5 10591,23059,14700,1290,1184,23059,7685
8600000US10594,ZCTA5 10594,5587,5031,162,182,5587,595
8600000US10595,ZCTA5 10595,8439,5966,1060,656,8439,1415
8600000US10596,ZCTA5 10596,1051,917,24,0,1051,115
8600000US10597,ZCTA5 10597,699,657,0,15,699,0
8600000US10598,ZCTA5 10598,28708,23815,1278,1532,28708,3033
8600000US10601,ZCTA5 10601,10256,5576,1509,1374,10256,2685
8600000US10603,ZCTA5 10603,18862,8917,4954,1620,18862,5854
8600000US10604,ZCTA5 10604,11132,8014,1153,296,11132,2706
8600000US10605,ZCTA5 10605,19849,14300,1792,1051,19849,3718
8600000US10606,ZCTA5 10606,16199,6895,2056,1284,16199,7283
8600000US10607,ZCTA5 10607,7162,3300,1576,863,7162,2249
8600000US10701,ZCTA5 10701,61367,22618,15605,2462,61367,29786
8600000US10703,ZCTA5 10703,22636,10502,5494,831,22636,8731
8600000US10704,ZCTA5 10704,31110,20265,3399,2116,31110,8588
8600000US10705,ZCTA5 10705,39848,14179,8056,2931,39848,21869
8600000US10706,ZCTA5 10706,8622,7543,101,620,8622,629
8600000US10707,ZCTA5 10707,9713,7462,303,972,9713,1194
8600000US10708,ZCTA5 10708,22212,16852,1704,974,22212,3765
8600000US10709,ZCTA5 10709,9369,8448,160,643,9369,337
8600000US10710,ZCTA5 10710,25104,12797,4313,3251,25104,6063
8600000US10801,ZCTA5 10801,40445,18374,11148,2656,40445,13677
8600000US10803,ZCTA5 10803,12492,9360,1112,810,12492,1512
8600000US10804,ZCTA5 10804,14365,11268,1599,653,14365,1494
8600000US10805,ZCTA5 10805,21331,11314,3424,1325,21331,8455
8600000US10901,ZCTA5 10901,23860,18765,2156,1282,23860,2471
8600000US10910,ZCTA5 10910,0,0,0,0,0,0
8600000US10911,ZCTA5 10911,0,0,0,0,0,0
8600000US10913,ZCTA5 10913,5294,4549,48,346,5294,205
8600000US10914,ZCTA5 10914,391,330,0,0,391,0
8600000US10915,ZCTA5 10915,79,79,0,0,79,0
8600000US10916,ZCTA5 10916,4582,3983,28,104,4582,647
8600000US10917,ZCTA5 10917,1650,1027,58,185,1650,295
8600000US10918,ZCTA5 10918,12286,9273,788,197,12286,2345
8600000US10919,ZCTA5 10919,1286,857,33,7,1286,678
8600000US10920,ZCTA5 10920,8919,6634,330,765,8919,1681
8600000US10921,ZCTA5 10921,3812,3099,65,76,3812,681
8600000US10922,ZCTA5 10922,1778,1044,147,143,1778,561
8600000US10923,ZCTA5 10923,7753,4068,829,709,7753,2958
8600000US10924,ZCTA5 10924,13538,11043,547,531,13538,2570
8600000US10925,ZCTA5 10925,3886,3494,33,255,3886,311
8600000US10926,ZCTA5 10926,3482,1826,709,337,3482,942
8600000US10927,ZCTA5 10927,12076,4569,909,380,12076,8605
8600000US10928,ZCTA5 10928,4132,2563,858,251,4132,421
8600000US10930,ZCTA5 10930,9789,7927,838,442,9789,2107
8600000US10931,ZCTA5 10931,1031,373,188,68,1031,362
8600000US10932,ZCTA5 10932,47,29,0,0,47,18
8600000US10933,ZCTA5 10933,417,394,0,23,417,51
8600000US10940,ZCTA5 10940,49430,28645,9546,1857,49430,15525
8600000US10941,ZCTA5 10941,13384,7971,2701,686,13384,2675
8600000US10950,ZCTA5 10950,53013,45574,1917,1125,53013,7311
8600000US10952,ZCTA5 10952,43374,38409,2973,562,43374,1571
8600000US10953,ZCTA5 10953,112,71,0,0,112,41
8600000US10954,ZCTA5 10954,25870,16298,4029,3694,25870,3598
8600000US10956,ZCTA5 10956,30697,21704,2786,3156,30697,4548
8600000US10958,ZCTA5 10958,3236,2594,453,5,3236,533
8600000US10960,ZCTA5 10960,15757,10895,2921,747,15757,3077
8600000US10962,ZCTA5 10962,5927,4272,470,858,5927,544
8600000US10963,ZCTA5 10963,4367,2959,774,106,4367,642
8600000US10964,ZCTA5 10964,1506,1364,8,106,1506,214
8600000US10965,ZCTA5 10965,15493,12386,189,923,15493,2352
8600000US10968,ZCTA5 10968,2466,2056,115,226,2466,300
8600000US10969,ZCTA5 10969,1098,915,59,47,1098,57
8600000US10970,ZCTA5 10970,10433,5587,1961,1004,10433,2656
8600000US10973,ZCTA5 10973,2510,2045,126,38,2510,173
8600000US10974,ZCTA5 10974,3189,2757,129,117,3189,321
8600000US10975,ZCTA5 10975,91,52,0,0,91,27
8600000US10976,ZCTA5 10976,2300,1635,130,197,2300,350
8600000US10977,ZCTA5 10977,64677,39347,15320,1588,64677,12858
8600000US10979,ZCTA5 10979,36,17,0,19,36,0
8600000US10980,ZCTA5 10980,13923,10234,1841,383,13923,2652
8600000US10983,ZCTA5 10983,5597,4488,81,427,5597,659
8600000US10984,ZCTA5 10984,2661,1878,540,75,2661,637
8600000US10985,ZCTA5 10985,149,149,0,0,149,0
8600000US10986,ZCTA5 10986,1836,1409,72,0,1836,566
8600000US10987,ZCTA5 10987,3499,3090,209,37,3499,279
8600000US10988,ZCTA5 10988,596,534,39,0,596,74
8600000US10989,ZCTA5 10989,8415,6083,569,962,8415,1212
8600000US10990,ZCTA5 10990,20735,18787,495,422,20735,1215
8600000US10992,ZCTA5 10992,8830,6886,1017,117,8830,1372
8600000US10993,ZCTA5 10993,5044,2441,775,330,5044,2304
8600000US10994,ZCTA5 10994,7115,5272,116,569,7115,1335
8600000US10996,ZCTA5 10996,6342,4802,349,311,6342,689
8600000US10998,ZCTA5 10998,3428,3127,79,15,3428,492
8600000US11001,ZCTA5 11001,26542,16888,1447,5687,26542,3604
8600000US11003,ZCTA5 11003,44712,9490,21013,6621,44712,8728
8600000US11004,ZCTA5 11004,15297,4999,752,7282,15297,1850
8600000US11005,ZCTA5 11005,2249,2137,0,112,2249,5
8600000US11010,ZCTA5 11010,25318,19175,579,2020,25318,4716
8600000US11020,ZCTA5 11020,6325,2326,1008,2803,6325,170
8600000US11021,ZCTA5 11021,18181,12409,352,4465,18181,1044
8600000US11023,ZCTA5 11023,9479,7818,87,1211,9479,421
8600000US11024,ZCTA5 11024,7869,6578,100,398,7869,977
8600000US11030,ZCTA5 11030,18450,14306,199,3086,18450,1262
8600000US11040,ZCTA5 11040,41523,20182,364,16400,41523,5428
8600000US11042,ZCTA5 11042,475,311,124,28,475,33
8600000US11050,ZCTA5 11050,30699,23613,403,3928,30699,4370
8600000US11096,ZCTA5 11096,8155,3486,1770,312,8155,3740
8600000US11101,ZCTA5 11101,32537,13324,4469,8631,32537,7105
8600000US11102,ZCTA5 11102,28359,16458,2186,4668,28359,7282
8600000US11103,ZCTA5 11103,35419,23557,1044,5056,35419,8549
8600000US11104,ZCTA5 11104,25037,14891,420,6163,25037,6972
8600000US11105,ZCTA5 11105,37452,27351,1020,3853,37452,8379
8600000US11106,ZCTA5 11106,37094,20347,2812,6629,37094,10228
8600000US11109,ZCTA5 11109,6127,3534,91,2174,6127,442
8600000US11201,ZCTA5 11201,64798,41093,7977,8634,64798,7354
8600000US11203,ZCTA5 11203,77589,3385,67107,1525,77589,5304
8600000US11204,ZCTA5 11204,75840,42054,808,25148,75840,9042
8600000US11205,ZCTA5 11205,47866,25199,13669,2948,47866,7871
8600000US11206,ZCTA5 11206,87599,40492,19698,5629,87599,32979
8600000US11207,ZCTA5 11207,90867,12502,57897,1399,90867,29584
8600000US11208,ZCTA5 11208,102626,23864,54146,6870,102626,40931
8600000US11209,ZCTA5 11209,68368,48436,2845,8941,68368,12163
8600000US11210,ZCTA5 11210,62423,19856,35240,2369,62423,4744
8600000US11211,ZCTA5 11211,104561,74440,6567,6641,104561,25035
8600000US11212,ZCTA5 11212,74037,6398,57275,677,74037,13314
8600000US11213,ZCTA5 11213,67382,16970,43233,1395,67382,7912
8600000US11214,ZCTA5 11214,90372,42330,1820,33391,90372,15975
8600000US11215,ZCTA5 11215,69995,51922,2848,6389,69995,11032
8600000US11216,ZCTA5 11216,59567,19128,30377,2894,59567,7315
8600000US11217,ZCTA5 11217,42461,24204,8288,3907,42461,6629
8600000US11218,ZCTA5 11218,73280,43368,6706,14466,73280,10630
8600000US11219,ZCTA5 11219,87812,57699,1295,21317,87812,10882
8600000US11220,ZCTA5 11220,90657,27716,2877,37421,90657,36498
8600000US11221,ZCTA5 11221,85582,21810,37775,3524,85582,28937
8600000US11222,ZCTA5 11222,36710,29347,1258,1944,36710,5592
8600000US11223,ZCTA5 11223,80500,44647,4289,20130,80500,10787
8600000US11224,ZCTA5 11224,45587,25039,9402,3368,45587,9256
8600000US11225,ZCTA5 11225,56072,16737,33538,1470,56072,5580
8600000US11226,ZCTA5 11226,96332,15139,64136,2826,96332,15360
8600000US11228,ZCTA5 11228,43878,23533,603,16253,43878,5323
8600000US11229,ZCTA5 11229,81909,52106,5260,18746,81909,7984
8600000US11230,ZCTA5 11230,87188,60164,6282,12434,87188,9950
8600000US11231,ZCTA5 11231,37796,25236,5572,2196,37796,6074
8600000US11232,ZCTA5 11232,26501,11592,2001,4213,26501,13702
8600000US11233,ZCTA5 11233,79796,10444,58859,1822,79796,12480
8600000US11234,ZCTA5 11234,90372,35078,40921,6725,90372,9795
8600000US11235,ZCTA5 11235,76921,56486,1687,10094,76921,6618
8600000US11236,ZCTA5 11236,98821,5346,84752,2631,98821,7474
8600000US11237,ZCTA5 11237,46772,16614,5807,2656,46772,28086
8600000US11238,ZCTA5 11238,55102,29580,16299,3287,55102,5693
8600000US11239,ZCTA5 11239,12832,3251,7632,461,12832,2387
8600000US11351,ZCTA5 11351,0,0,0,0,0,0
8600000US11354,ZCTA5 11354,52351,9821,1636,34024,52351,7482
8600000US11355,ZCTA5 11355,81358,10056,2214,58758,81358,12736
8600000US11356,ZCTA5 11356,24178,7276,459,7135,24178,10469
8600000US11357,ZCTA5 11357,40118,26062,273,9933,40118,6955
8600000US11358,ZCTA5 11358,36665,14150,469,17295,36665,6574
8600000US11359,ZCTA5 11359,0,0,0,0,0,0
8600000US11360,ZCTA5 11360,18892,11434,235,6125,18892,2068
8600000US11361,ZCTA5 11361,28531,13018,1358,12000,28531,3442
8600000US11362,ZCTA5 11362,18694,8426,491,8594,18694,1903
8600000US11363,ZCTA5 11363,6834,3739,132,2328,6834,860
8600000US11364,ZCTA5 11364,35866,13675,1379,17375,35866,5689
8600000US11365,ZCTA5 11365,43730,13423,3914,20085,43730,8721
8600000US11366,ZCTA5 11366,14109,5288,823,6688,14109,1574
8600000US11367,ZCTA5 11367,40141,21256,2877,11286,40141,7271
8600000US11368,ZCTA5 11368,108661,34083,10529,14467,108661,81431
8600000US11369,ZCTA5 11369,30693,7943,5126,4493,30693,18187
8600000US11370,ZCTA5 11370,29366,12548,4374,6863,29366,10689
8600000US11371,ZCTA5 11371,0,0,0,0,0,0
8600000US11372,ZCTA5 11372,63107,31320,1678,13514,63107,34248
8600000US11373,ZCTA5 11373,96495,15131,1702,47947,96495,40303
8600000US11374,ZCTA5 11374,43173,21237,1882,14084,43173,7897
